"","Account Name","Opportunity Name","Product","Stage Name","Amount_USD","Close Date Year","Close Date Month","Close Date Day","Lead Source","Forecast Category","Account Owner","Region","Fiscal Year","Fiscal Quarter","Team Name"
"1374","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Accugel","5 - Closed Won","22","2014","8","4","Web","Closed","161a008b-c441-47ee-8577-45585313ca1c","Northeast","2014","2014-10-01 00:00:00","US Sales Team"
"1375","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Avenetro","5 - Closed Won","12769","2015","11","11","Tradeshow","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Southwest","2015","2015-01-01 00:00:00","EU Sales Team"
"1376","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Comfront","5 - Closed Won","7309","2011","2","16","Web","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Northwest","2011","2011-04-01 00:00:00","US Sales Team"
"1377","Walgreens Co.","Walgreens Co.","Prevalax","5 - Closed Won","14868","2013","6","21","Business development","Closed","50c22eeb-7152-4bf9-b130-0b2574fa05d9","Northeast","2013","2013-07-01 00:00:00","US Sales Team"
"1378","Bryant Ranch Prepack","Bryant Ranch Prepack","Acclimite","5 - Closed Won","24932","2012","11","11","Tradeshow","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southeast","2012","2012-10-01 00:00:00","EU Sales Team"
"1379","Tarte Inc","Tarte Inc","3-DOM","5 - Closed Won","22767","2011","7","11","Web","Closed","093c020a-4551-467e-95e9-b258927674e9","Southeast","2011","2011-01-01 00:00:00","US Sales Team"
"1380","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Comfront","5 - Closed Won","11614","2012","9","14","Web","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
"1381","Indiana Botanic Gardens","Indiana Botanic Gardens","Memora","5 - Closed Won","15214","2014","9","21","Business development","Closed","43f5cc3c-fb28-410a-9a99-bed935c40afd","Southwest","2014","2014-07-01 00:00:00","EU Sales Team"
"1382","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Radantix","5 - Closed Won","18949","2014","2","9","Business development","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Northwest","2014","2014-04-01 00:00:00","EU Sales Team"
"1383","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","3-DOM","5 - Closed Won","913","2015","6","19","Not specified","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Northwest","2015","2015-04-01 00:00:00","US Sales Team"
"1384","Nelco Laboratories Inc.","Nelco Laboratories Inc.","Accugel","5 - Closed Won","6984","2015","9","4","Web","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Southwest","2015","2015-07-01 00:00:00","EU Sales Team"
"1385","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Prevalax","5 - Closed Won","18319","2013","7","7","Not specified","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Northwest","2013","2013-01-01 00:00:00","US Sales Team"
"1386","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Zillia","5 - Closed Won","8468","2014","11","13","Web","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Southeast","2014","2014-04-01 00:00:00","EU Sales Team"
"1387","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Prevalax","5 - Closed Won","24247","2013","2","6","Tradeshow","Closed","161a008b-c441-47ee-8577-45585313ca1c","Northwest","2013","2013-04-01 00:00:00","EU Sales Team"
"1388","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Prevalax","5 - Closed Won","13239","2014","4","4","Web","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Northeast","2014","2014-10-01 00:00:00","EU Sales Team"
"1389","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Manatea","5 - Closed Won","18765","2011","1","28","Web","Closed","093c020a-4551-467e-95e9-b258927674e9","Southeast","2011","2011-07-01 00:00:00","EU Sales Team"
"1390","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Avenetro","5 - Closed Won","12580","2011","8","4","Not specified","Closed","61af56ef-87cb-451e-8bf0-d0911edc5283","Northwest","2011","2011-07-01 00:00:00","US Sales Team"
"1391","Vini Health & Beauty Inc","Vini Health & Beauty Inc","3-DOM","5 - Closed Won","631","2012","3","24","Business development","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Southeast","2012","2012-04-01 00:00:00","EU Sales Team"
"1392","Safeway","Safeway","Emoltra","5 - Closed Won","16908","2015","4","28","Tradeshow","Closed","80ba1440-a075-43df-9f05-b71eb224c1e3","Southwest","2015","2015-07-01 00:00:00","EU Sales Team"
"1393","Personal Care Products","Personal Care Products","Accugel","5 - Closed Won","24954","2012","4","20","Tradeshow","Closed","05a05a8f-117e-4705-9329-4dd818f8484a","Northwest","2012","2012-10-01 00:00:00","US Sales Team"
"1394","Safeway","Safeway","Prevalax","5 - Closed Won","12628","2011","3","24","Business development","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Southeast","2011","2011-01-01 00:00:00","EU Sales Team"
"1395","Safeway","Safeway","Zillia","5 - Closed Won","10939","2015","6","5","Business development","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Northeast","2015","2015-04-01 00:00:00","EU Sales Team"
"1396","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","3-DOM","5 - Closed Won","12153","2011","2","22","Tradeshow","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Northeast","2011","2011-07-01 00:00:00","US Sales Team"
"1397","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Avenetro","5 - Closed Won","17911","2013","6","11","Business development","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Northwest","2013","2013-07-01 00:00:00","US Sales Team"
"1398","Warner Chilcott (US) LLC","Warner Chilcott (US) LLC","Accugel","5 - Closed Won","10401","2011","4","7","Not specified","Closed","88ab35a3-0ee7-481f-8148-b2962ae39d3b","Southeast","2011","2011-01-01 00:00:00","US Sales Team"
"1399","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Radantix","5 - Closed Won","23302","2012","2","27","Web","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Southwest","2012","2012-01-01 00:00:00","EU Sales Team"
"1400","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Radantix","5 - Closed Won","6592","2012","6","24","Not specified","Closed","161a008b-c441-47ee-8577-45585313ca1c","Southeast","2012","2012-10-01 00:00:00","EU Sales Team"
"1401","The Mentholatum Company","The Mentholatum Company","Memora","5 - Closed Won","9210","2015","12","18","Not specified","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Northwest","2015","2015-04-01 00:00:00","US Sales Team"
"1402","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Radantix","5 - Closed Won","24860","2011","4","6","Tradeshow","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Southwest","2011","2011-07-01 00:00:00","EU Sales Team"
"1403","Chromate Industrial Corporation","Chromate Industrial Corporation","Prevalax","5 - Closed Won","9029","2015","10","24","Not specified","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northwest","2015","2015-01-01 00:00:00","US Sales Team"
"1404","Indiana Botanic Gardens","Indiana Botanic Gardens","Memora","5 - Closed Won","20839","2014","9","5","Tradeshow","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Southeast","2014","2014-10-01 00:00:00","US Sales Team"
"1405","Safeway","Safeway","Avenetro","5 - Closed Won","715","2014","3","1","Not specified","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Southwest","2014","2014-07-01 00:00:00","US Sales Team"
"1406","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","3-DOM","5 - Closed Won","15160","2011","5","20","Not specified","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Southwest","2011","2011-01-01 00:00:00","EU Sales Team"
"1407","Chromate Industrial Corporation","Chromate Industrial Corporation","Comfront","5 - Closed Won","10617","2011","4","19","Tradeshow","Closed","c6f1d732-f34e-4fcc-9340-839d300c146a","Southwest","2011","2011-04-01 00:00:00","EU Sales Team"
"1408","Chromate Industrial Corporation","Chromate Industrial Corporation","Emoltra","5 - Closed Won","1981","2014","11","2","Tradeshow","Closed","50c22eeb-7152-4bf9-b130-0b2574fa05d9","Northeast","2014","2014-04-01 00:00:00","EU Sales Team"
"1409","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Prevalax","5 - Closed Won","9434","2014","9","19","Not specified","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Northwest","2014","2014-01-01 00:00:00","US Sales Team"
"1410","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Manatea","5 - Closed Won","3960","2014","6","16","Web","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Southwest","2014","2014-01-01 00:00:00","US Sales Team"
"1411","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Radantix","5 - Closed Won","12379","2015","8","16","Web","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Southeast","2015","2015-07-01 00:00:00","EU Sales Team"
"1412","Walgreens Co.","Walgreens Co.","Manatea","5 - Closed Won","8056","2012","8","25","Tradeshow","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Northeast","2012","2012-07-01 00:00:00","EU Sales Team"
"1413","American Health Packaging","American Health Packaging","Avenetro","5 - Closed Won","8558","2014","7","23","Business development","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Northwest","2014","2014-01-01 00:00:00","EU Sales Team"
"1414","Apotheca Company","Apotheca Company","3-DOM","5 - Closed Won","15358","2014","11","14","Web","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Northeast","2014","2014-01-01 00:00:00","US Sales Team"
"1415","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Avenetro","5 - Closed Won","9108","2011","4","8","Business development","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Southeast","2011","2011-07-01 00:00:00","US Sales Team"
"1416","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","3-DOM","5 - Closed Won","4117","2012","6","26","Web","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Northwest","2012","2012-04-01 00:00:00","EU Sales Team"
"1417","Apotheca Company","Apotheca Company","Accugel","5 - Closed Won","1021","2012","3","10","Business development","Closed","94422cbe-1ec9-4067-be7f-18ef190f4e3e","Southeast","2012","2012-07-01 00:00:00","US Sales Team"
"1418","Watson Laboratories Inc.","Watson Laboratories Inc.","Dentrex","5 - Closed Won","9590","2012","6","16","Tradeshow","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Southeast","2012","2012-04-01 00:00:00","US Sales Team"
"1419","Walgreens Co.","Walgreens Co.","Accruex","5 - Closed Won","153","2013","3","7","Not specified","Closed","c26a4236-07cb-4308-aa16-6341360d339e","Southeast","2013","2013-07-01 00:00:00","EU Sales Team"
"1420","The Mentholatum Company","The Mentholatum Company","3-DOM","5 - Closed Won","7997","2014","10","6","Not specified","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Southeast","2014","2014-01-01 00:00:00","US Sales Team"
"1421","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Emoltra","5 - Closed Won","8509","2012","10","10","Business development","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
"1422","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Accruex","5 - Closed Won","11646","2015","10","25","Web","Closed","2229217d-2ed3-4035-b2e7-a3bef64f73ec","Northeast","2015","2015-10-01 00:00:00","EU Sales Team"
"1423","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Accugel","5 - Closed Won","24868","2013","8","14","Web","Closed","d8d7c4f4-ed64-4f4e-bd6b-b4cdb04b7218","Southwest","2013","2013-10-01 00:00:00","US Sales Team"
"1424","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Acclimite","5 - Closed Won","9260","2011","8","17","Business development","Closed","80ba1440-a075-43df-9f05-b71eb224c1e3","Northwest","2011","2011-10-01 00:00:00","EU Sales Team"
"1425","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Acclimite","5 - Closed Won","4743","2015","3","1","Tradeshow","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Northeast","2015","2015-01-01 00:00:00","US Sales Team"
"1426","Indiana Botanic Gardens","Indiana Botanic Gardens","Acclimite","5 - Closed Won","17984","2011","1","27","Not specified","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Northwest","2011","2011-04-01 00:00:00","US Sales Team"
"1427","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Memora","5 - Closed Won","19070","2011","10","16","Web","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Northeast","2011","2011-07-01 00:00:00","US Sales Team"
"1428","Bryant Ranch Prepack","Bryant Ranch Prepack","Avenetro","5 - Closed Won","13278","2014","7","17","Tradeshow","Closed","50c22eeb-7152-4bf9-b130-0b2574fa05d9","Northeast","2014","2014-01-01 00:00:00","EU Sales Team"
"1429","Warner Chilcott (US) LLC","Warner Chilcott (US) LLC","Radantix","5 - Closed Won","19904","2014","5","15","Web","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Northeast","2014","2014-01-01 00:00:00","EU Sales Team"
"1430","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Acclimite","5 - Closed Won","8625","2015","10","4","Tradeshow","Closed","4f01f14b-2b7f-45df-9ea7-04e905169969","Southwest","2015","2015-07-01 00:00:00","EU Sales Team"
"1431","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Emoltra","5 - Closed Won","9548","2014","12","1","Web","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Northeast","2014","2014-10-01 00:00:00","EU Sales Team"
"1432","Safeway","Safeway","Manatea","5 - Closed Won","13116","2012","12","21","Not specified","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Southwest","2012","2012-01-01 00:00:00","EU Sales Team"
"1433","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Accruex","5 - Closed Won","2690","2013","6","2","Not specified","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Northeast","2013","2013-04-01 00:00:00","EU Sales Team"
"1434","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Zillia","5 - Closed Won","14742","2011","9","1","Web","Closed","38a65e72-7a7f-454a-acbb-8658cecad9a9","Northwest","2011","2011-07-01 00:00:00","EU Sales Team"
"1435","Personal Care Products","Personal Care Products","Accugel","5 - Closed Won","4707","2015","9","4","Not specified","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Northwest","2015","2015-04-01 00:00:00","EU Sales Team"
"1436","Chromate Industrial Corporation","Chromate Industrial Corporation","Dentrex","5 - Closed Won","7585","2012","12","15","Not specified","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Southeast","2012","2012-01-01 00:00:00","EU Sales Team"
"1437","The Mentholatum Company","The Mentholatum Company","Emoltra","5 - Closed Won","13026","2013","4","7","Business development","Closed","093c020a-4551-467e-95e9-b258927674e9","Northeast","2013","2013-04-01 00:00:00","EU Sales Team"
"1438","Caraco Pharmaceutical Laboratories Ltd.","Caraco Pharmaceutical Laboratories Ltd.","Accugel","5 - Closed Won","1926","2015","3","10","Web","Closed","86316069-f7fb-4489-8bd5-5ea48c0ea25a","Southeast","2015","2015-07-01 00:00:00","EU Sales Team"
"1439","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Avenetro","5 - Closed Won","8087","2015","12","16","Not specified","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Southwest","2015","2015-07-01 00:00:00","EU Sales Team"
"1440","Wyeth BioPharma","Wyeth BioPharma","3-DOM","5 - Closed Won","6174","2013","6","12","Business development","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Southeast","2013","2013-04-01 00:00:00","US Sales Team"
"1441","AvKARE Inc.","AvKARE Inc.","Zillia","5 - Closed Won","969","2013","2","13","Web","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Southwest","2013","2013-07-01 00:00:00","US Sales Team"
"1442","American Health Packaging","American Health Packaging","Dentrex","5 - Closed Won","22918","2011","10","18","Web","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northeast","2011","2011-07-01 00:00:00","EU Sales Team"
"1443","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Acclimite","5 - Closed Won","5926","2013","8","12","Business development","Closed","d8d7c4f4-ed64-4f4e-bd6b-b4cdb04b7218","Northeast","2013","2013-07-01 00:00:00","EU Sales Team"
"1444","Bryant Ranch Prepack","Bryant Ranch Prepack","Memora","5 - Closed Won","14718","2013","12","6","Business development","Closed","05a05a8f-117e-4705-9329-4dd818f8484a","Northwest","2013","2013-10-01 00:00:00","EU Sales Team"
"1445","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Acclimite","5 - Closed Won","20173","2012","3","26","Tradeshow","Closed","94422cbe-1ec9-4067-be7f-18ef190f4e3e","Northwest","2012","2012-01-01 00:00:00","EU Sales Team"
"1446","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Dentrex","5 - Closed Won","16900","2013","1","9","Web","Closed","61af56ef-87cb-451e-8bf0-d0911edc5283","Southeast","2013","2013-01-01 00:00:00","US Sales Team"
"1447","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Prevalax","5 - Closed Won","24245","2012","12","8","Not specified","Closed","c6f1d732-f34e-4fcc-9340-839d300c146a","Southwest","2012","2012-01-01 00:00:00","US Sales Team"
"1448","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Zillia","5 - Closed Won","994","2013","7","7","Business development","Closed","ba5dff93-e628-4522-8f49-10f05ca557a3","Southwest","2013","2013-07-01 00:00:00","EU Sales Team"
"1449","Watson Laboratories Inc.","Watson Laboratories Inc.","Acclimite","5 - Closed Won","17649","2012","7","23","Not specified","Closed","43f5cc3c-fb28-410a-9a99-bed935c40afd","Northeast","2012","2012-01-01 00:00:00","US Sales Team"
"1450","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","3-DOM","5 - Closed Won","15898","2012","2","4","Business development","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Southwest","2012","2012-07-01 00:00:00","US Sales Team"
"1451","RxPak Division of McKesson Corporation","RxPak Division of McKesson Corporation","Radantix","5 - Closed Won","22449","2013","8","21","Business development","Closed","c26a4236-07cb-4308-aa16-6341360d339e","Northeast","2013","2013-07-01 00:00:00","EU Sales Team"
"1452","Bryant Ranch Prepack","Bryant Ranch Prepack","Accruex","5 - Closed Won","22826","2014","6","13","Tradeshow","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Southeast","2014","2014-04-01 00:00:00","US Sales Team"
"1453","Bryant Ranch Prepack","Bryant Ranch Prepack","Radantix","5 - Closed Won","3911","2015","3","4","Web","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Southeast","2015","2015-04-01 00:00:00","US Sales Team"
"1454","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Avenetro","5 - Closed Won","4046","2012","3","21","Tradeshow","Closed","843141eb-6b81-4f45-bd4b-dfadf6721b8e","Northwest","2012","2012-07-01 00:00:00","EU Sales Team"
"1455","Warner Chilcott (US) LLC","Warner Chilcott (US) LLC","Zillia","5 - Closed Won","12503","2012","2","5","Tradeshow","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Northeast","2012","2012-07-01 00:00:00","EU Sales Team"
"1456","Personal Care Products","Personal Care Products","Manatea","5 - Closed Won","12271","2013","6","21","Not specified","Closed","bec9ee79-11c9-4351-8416-01ad8b8ab4bf","Southwest","2013","2013-10-01 00:00:00","EU Sales Team"
"1457","Tarte Inc","Tarte Inc","Accugel","5 - Closed Won","5881","2013","12","14","Web","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Northwest","2013","2013-10-01 00:00:00","US Sales Team"
"1458","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Zillia","5 - Closed Won","20664","2013","9","9","Tradeshow","Closed","61af56ef-87cb-451e-8bf0-d0911edc5283","Northwest","2013","2013-01-01 00:00:00","EU Sales Team"
"1459","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Memora","5 - Closed Won","24079","2015","6","9","Web","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Northwest","2015","2015-07-01 00:00:00","EU Sales Team"
"1460","Apotheca Company","Apotheca Company","Accruex","5 - Closed Won","13713","2013","8","14","Tradeshow","Closed","2229217d-2ed3-4035-b2e7-a3bef64f73ec","Northeast","2013","2013-04-01 00:00:00","EU Sales Team"
"1461","AvKARE Inc.","AvKARE Inc.","Prevalax","5 - Closed Won","15314","2015","7","14","Not specified","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Southeast","2015","2015-10-01 00:00:00","EU Sales Team"
"1462","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","3-DOM","5 - Closed Won","14273","2011","2","2","Tradeshow","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northeast","2011","2011-07-01 00:00:00","EU Sales Team"
"1463","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","3-DOM","5 - Closed Won","22410","2013","3","14","Web","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Southwest","2013","2013-10-01 00:00:00","EU Sales Team"
"1464","Glenmark Generics Inc. USA","Glenmark Generics Inc. USA","Comfront","5 - Closed Won","6600","2012","5","12","Business development","Closed","37db7974-7903-40ff-ac8e-33fbcb871af0","Southeast","2012","2012-04-01 00:00:00","EU Sales Team"
"1465","Watson Laboratories Inc.","Watson Laboratories Inc.","Comfront","5 - Closed Won","9414","2015","1","16","Tradeshow","Closed","88ab35a3-0ee7-481f-8148-b2962ae39d3b","Northeast","2015","2015-01-01 00:00:00","US Sales Team"
"1466","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC","Zillia","5 - Closed Won","18297","2015","9","2","Web","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Northeast","2015","2015-07-01 00:00:00","EU Sales Team"
"1467","Chromate Industrial Corporation","Chromate Industrial Corporation","Manatea","5 - Closed Won","21838","2011","3","22","Not specified","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Southwest","2011","2011-10-01 00:00:00","US Sales Team"
"1468","The Mentholatum Company","The Mentholatum Company","Dentrex","5 - Closed Won","2996","2014","2","9","Not specified","Closed","caba0fbe-e5ef-4b34-9174-29cc5351b49d","Northwest","2014","2014-07-01 00:00:00","EU Sales Team"
"1469","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Memora","5 - Closed Won","14408","2011","11","12","Not specified","Closed","80ba1440-a075-43df-9f05-b71eb224c1e3","Northwest","2011","2011-07-01 00:00:00","EU Sales Team"
"1470","Uriel Pharmacy Inc.","Uriel Pharmacy Inc.","Zillia","5 - Closed Won","20514","2012","11","27","Tradeshow","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Southeast","2012","2012-07-01 00:00:00","US Sales Team"
"1471","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Acclimite","5 - Closed Won","21149","2015","6","4","Business development","Closed","d3b1c42e-e272-4e53-8928-8c5d72d74984","Southeast","2015","2015-04-01 00:00:00","US Sales Team"
"1472","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","Comfront","5 - Closed Won","21022","2015","10","8","Tradeshow","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northwest","2015","2015-07-01 00:00:00","US Sales Team"
"1473","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Zillia","5 - Closed Won","15978","2013","12","21","Business development","Closed","86316069-f7fb-4489-8bd5-5ea48c0ea25a","Southwest","2013","2013-10-01 00:00:00","EU Sales Team"
"1474","Tarte Inc","Tarte Inc","Emoltra","5 - Closed Won","15633","2014","7","2","Tradeshow","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Southeast","2014","2014-04-01 00:00:00","EU Sales Team"
"1475","Wyeth BioPharma","Wyeth BioPharma","Manatea","5 - Closed Won","10074","2014","5","16","Web","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Southeast","2014","2014-10-01 00:00:00","US Sales Team"
"1476","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Radantix","5 - Closed Won","4786","2015","3","17","Business development","Closed","43f5cc3c-fb28-410a-9a99-bed935c40afd","Northeast","2015","2015-04-01 00:00:00","US Sales Team"
"1477","Walgreens Co.","Walgreens Co.","Accruex","5 - Closed Won","24471","2014","2","12","Not specified","Closed","94422cbe-1ec9-4067-be7f-18ef190f4e3e","Northeast","2014","2014-04-01 00:00:00","US Sales Team"
"1478","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Prevalax","5 - Closed Won","12362","2011","5","7","Tradeshow","Closed","f2fb41d7-981a-42d0-94df-549356c4a339","Northwest","2011","2011-10-01 00:00:00","US Sales Team"
"1479","Mylan Pharmaceuticals Inc.","Mylan Pharmaceuticals Inc.","Memora","5 - Closed Won","19008","2011","6","25","Tradeshow","Closed","c8c9dc6f-cd43-4697-922e-4ee91977e1cc","Southwest","2011","2011-01-01 00:00:00","US Sales Team"
"1480","Safeway","Safeway","Avenetro","5 - Closed Won","23147","2013","7","12","Web","Closed","b2d76d74-0faf-4913-9f85-9cdec5ced617","Northwest","2013","2013-07-01 00:00:00","US Sales Team"
"1481","Bryant Ranch Prepack","Bryant Ranch Prepack","Avenetro","5 - Closed Won","10316","2014","2","7","Business development","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northeast","2014","2014-10-01 00:00:00","EU Sales Team"
"1482","Nelco Laboratories Inc.","Nelco Laboratories Inc.","Accruex","5 - Closed Won","7856","2012","2","20","Business development","Closed","840ae18e-8f2f-48c0-a8e1-48f4d13b7dd6","Southwest","2012","2012-01-01 00:00:00","EU Sales Team"
"1483","Tarte Inc","Tarte Inc","Prevalax","5 - Closed Won","19337","2013","6","18","Business development","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northwest","2013","2013-01-01 00:00:00","EU Sales Team"
"1484","Bryant Ranch Prepack","Bryant Ranch Prepack","Radantix","5 - Closed Won","24511","2014","12","10","Tradeshow","Closed","ac80e526-9e13-420e-85e4-f0d1aab61c9c","Northwest","2014","2014-04-01 00:00:00","US Sales Team"
"1485","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","3-DOM","5 - Closed Won","4238","2015","5","6","Business development","Closed","9fe15343-cb70-4c62-8056-e596a3d6e02b","Northeast","2015","2015-07-01 00:00:00","US Sales Team"
"1486","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Avenetro","5 - Closed Won","22524","2012","11","23","Business development","Closed","86316069-f7fb-4489-8bd5-5ea48c0ea25a","Northwest","2012","2012-07-01 00:00:00","US Sales Team"
